user_id,point_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,alkalinity,temperature,salinity,dissolved_oxygen_do,colour,odour,taste,ph,chloride_cl,fluoride_f,residual_chlorine,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,chromium_cr,chromium_hexavalent_cr6,cobalt_co,copper_cu,iron_fe,manganese_mn,lead_pb,mercury_hg,nickel_ni,selenium_se,silver_ag,zinc_zn,aluminium_t_al,arsenic_t_as,cadmium_t_cd,chromium_hexavalent_t_cr6,chromium_t_cr,cobalt_t_co,copper_t_cu,lead_t_pb,selenium_t_se,mercury_t_hg,nickel_t_ni,zinc_t_zn,bod,cod,oil_and_grease,phenols,permanganate_number_as_kmno4,surfactant_mbas,benzene,chloroform,2_4_6_trichloropenol,2_4_d,pentachlorophenol,total_pesticides,chlordane_total_isomer,dieldrin,aldrin,fecal_coliform,e_coli,total_coliform_bacteria,
1,10,7,2012-04-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2012-05-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2012-06-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2012-07-10,585,410,2,-,-,-,30.6,-,-,-,-,-,6.89,22.0,0.30,-,19,0.02,0.005,0.005,0.005,-,0.05,0.027,0.001,0.005,0.005,-,0.0009,-,0.0001,-,-,0.01,0.001,0.005,0.25,0.79,0.015,0.0002,-,0.00050,0.00010,0.006,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,32
1,10,7,2012-08-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2012-09-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2012-10-05,535,374,1,-,-,-,30.2,-,-,-,-,-,7.15,18,0.34,-,9,0.02,0.005,0.005,0.005,-,0.02,0.005,0.001,0.044,0.007,-,0.0011,-,0.0001,35.9,-,0.01,-,0.005,0.02,0.690,0.001,0.00005,-,0.0005,0.001,0.005,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,2
1,10,7,2012-11-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2012-12-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-01-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-02-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-03-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-04-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-05-08,556,289,4,-,-,-,28,-,-,-,-,-,7.04,19.3,0.30,-,10,0.02,0.005,0.005,0.005,0.10,-,0.016,0.04,0.264,0.009,-,0.0007,-,0.0001,-,-,0.01,0.001,0.005,0.14,0.197,0.002,0.00007,-,-,0.0001,0.01,-,-,-,-,-,-,-,-,-,-,-,-,5,18,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,130,2420
1,10,7,2013-06-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-07-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-08-21,566,396,1,-,-,-,29.8,-,-,-,-,-,7.17,20,0.43,-,7,0.02,0.005,0.005,0.005,-,0.09,0.052,0.009,0.154,0.005,-,0.0005,-,0.0001,-,-,0.01,0.001,0.005,0.30,0.464,0.0119,0.00005,-,0.0006,0.0001,0.0059,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,1,1
1,10,7,2013-09-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-10-04,489,333,4,-,-,228,28.5,-,-,-,-,-,7.9,21,0.3,-,8,0.002,0.01,0.01,0.01,-,0.1,0.09,0.01,0.11,0.2,-,0.001,-,0.001,-,-,0.02,0.1,0.01,0.3,0.42,0.03,0.0005,-,0.001,0.02,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,-,-,-,-,-,-,-,-,-,-,-,220,-,220
1,10,7,2013-11-13,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2013-12-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-01-08,220,140,8,-,-,120,26.8,-,-,-,-,-,6.4,5,0.1,-,5,0.002,0.01,0.01,0.01,-,0.1,0.02,0.01,0.09,0.1,-,0.001,-,0.001,-,-,0.02,0.1,0.01,0.4,0.22,0.02,0.0005,-,0.001,0.02,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.002,-,-,-,-,-,-,-,-,-,-,-,1410,-,2420
1,10,7,2014-02-06,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-03-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-04-07,529,360,4,-,-,250,26.8,-,-,-,-,-,7.4,23,0.1,-,5,0.002,0.01,0.01,0.01,-,0.1,0.22,0.01,0.12,1.1,-,0.001,-,0.001,-,-,0.02,0.1,0.01,0.1,0.10,0.01,0.0005,-,0.001,0.02,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,-,-,-,-,-,-,-,-,-,-,-,1,-,20
1,10,7,2014-05-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-06-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-07-03,512,265,1,-,-,265,29.4,-,-,-,-,-,6.9,25,0.1,-,5,0.002,0.01,0.01,0.01,-,0.01,0.01,0.01,0.05,0.1,-,0.001,-,0.001,-,-,0.02,0.1,0.01,0.1,0.76,0.01,0.0005,-,0.001,0.02,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,-,-,-,-,-,-,-,-,-,-,-,1,-,292
1,10,7,2014-08-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-09-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-10-08,414,240,3,-,-,180,29.3,-,-,-,-,-,7.0,26,0.4,-,5,0.002,0.01,0.01,0.01,-,0.1,0.01,0.03,0.17,0.1,-,0.001,-,0.001,-,-,0.02,0.1,0.01,0.2,0.60,0.01,0.0005,-,0.001,0.02,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,-,-,-,-,-,-,-,-,-,-,-,1,-,2
1,10,7,2014-11-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2014-12-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-01-14,439,422,-,5,121,-,29.7,-,-,5,Odourless,Tasteless,7,25.1,0.35,7,-,-,-,0.005,-,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.11,0.448,0.011,0.00005,-,0.0041,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.00001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,10
1,10,7,2015-02-14,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-03-14,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-04-09,581,374,-,0.9,196,-,29.3,-,-,5,Odourless,Tasteless,6.81,19.6,0.29,5,-,-,-,0.005,-,-,-,0.041,0.001,-,-,-,0.005,-,0.001,-,-,0.005,-,-,0.07,0.05,0.01,0.00005,-,0.007,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,30
1,10,7,2015-05-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-06-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-07-09,659,392,-,3.3,10,-,28.7,-,-,5,Odourless,Tasteless,6.75,22.7,0.46,-,3,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.002,-,0.0001,-,-,0.005,-,-,0.08,0.407,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,2
1,10,7,2015-08-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-09-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-10-10,659,390,-,3.2,172,-,28.7,-,-,5,Odourless,Tasteless,6.62,-,0.31,0.02,4,-,0.005,0.005,0.005,-,-,0.034,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.06,0.418,0.002,0.00005,-,0.0005,-,0.011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.001,0.001,0.001,0.001,-,0.00001,0.00001,0.00001,0.00001,-,1,1
1,10,7,2015-11-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2015-12-02,NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,7,2016-01-02,570,419,-,5.0,170,-,30.7,-,-,5,Odourless,Tasteless,6.64,22,0.33,-,2,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.02,0.761,0.009,0.00005,-,0.0029,-,0.014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,3
1,10,7,2016-07-07,688,383,-,4.9,166,-,30.5,-,-,5,Odourless,Tasteless,7.27,21,0.31,-,8,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0004,-,-,0.005,-,-,0.14,0.519,0.019,0.00005,-,0.0043,-,0.011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,7
1,10,7,2016-10-03,539,373,-,5.2,175,-,31.6,-,-,5,Odourless,Tasteless,6.87,19.1,0.38,-,7,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0002,-,-,0.005,-,-,0.19,0.747,0.014,0.00005,-,0.004,-,0.008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,2,230
1,10,7,2017-01-09,523,368,-,5.4,158,-,28.3,-,-,5,Odourless,Tasteless,6.97,19.4,0.3,-,7,-,0.005,0.005,0.005,-,-,0.033,0.001,-,-,-,0.0005,-,0.0002,-,-,0.005,-,-,0.27,0.653,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,43,866
1,10,7,2017-04-15,499,364,-,8.3,170,-,30.3,-,-,5,Odourless,Tasteless,7.69,19.8,0.36,-,10,-,0.005,0.005,0.005,-,-,0.029,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.08,0.645,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1990,1990
1,10,7,2017-07-12,493,392,-,3.7,186,-,26.8,-,-,5,Odourless,Tasteless,7.04,19.6,0.28,-,5,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.04,0.632,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,2420
1,10,7,2017-10-10,430,342,-,4.7,178,-,29.6,-,-,5,Odourless,Tasteless,6.83,19.4,0.27,-,5,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.1,0.565,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,115
1,10,7,2018-01-18,790,351,-,2.5,114,-,28.1,-,-,5,Odourless,Tasteless,7.17,13.4,0.14,-,9,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.12,0.339,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,816,1990
1,10,7,2018-04-15,458,352,-,3,188,-,28.7,-,-,5,Odourless,Tasteless,7.15,19.6,0.32,-,8,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.09,0.543,0.001,0.00005,-,0.005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,1
1,10,7,2018-07-05,622,365,-,0.9,195,-,27.4,-,-,5,Odourless,Tasteless,7.45,17.6,0.34,-,9,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0002,-,-,0.005,-,-,0.02,0.307,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,17,261
1,10,7,2018-10-04,600,382,-,2.5,194,-,30.4,-,-,5,Odourless,Tasteless,6.6,13.7,0.32,-,10,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.10,0.525,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,3,20
1,10,7,2019-01-10,569,367,-,4.2,191,-,29.2,-,-,5,Odourless,Tasteless,6.98,19,0.27,-,9,-,0.005,0.005,0.005,-,-,0.015,0.001,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.21,0.528,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,162,866
1,10,7,2019-04-10,695,374,-,3.8,163,-,30.2,-,-,5,Odourless,Tasteless,7.07,20.3,0.3,-,9,-,0.005,0.005,0.005,-,-,0.015,0.005,-,-,-,0.0005,-,0.0001,-,-,0.005,-,-,0.04,0.412,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,84
