user_id,point_id,date,conductivity,tds,tss,turbidity,hardness,color,odor,taste,ph,chloride,fluoride,residual_chlorine,sulphate,sulphite,free_cyanide,total_cyanide,wad_cyanide,ammonia_nh4,ammonia_nnh3,nitrate_no3,nitrate_no2,phosphate_po4,aluminium_al,arsenic_as,barium_ba,cadmium_cd,chromium_cr,chromium_hexavalent,cobalt_co,copper_cu,iron_fe,lead_pb,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,zinc_zn,fecal_coliform,c_coli,total_coliform_bacteria
1,1,2014-10-02,-,85,1,-,46.59024,-,-,-,7,5,0.5,-,5,-,-,0.01,-,-,0.1,0.01,0.01,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2014-11-03,-,540,1,-,50.3174,-,-,-,7.4,5,0.5,-,5,-,-,0.1,-,-,0.1,0.47,0.01,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,2,2
1,1,2014-12-03,-,111,1,-,49,-,-,-,6.87,1.8,0.36,-,2,-,-,0.005,-,-,0.02,0.52,0.004,-,0.005,0.002,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0023,-,0.01,-,1,1
1,1,2015-01-07,-,112,1,-,30,-,-,-,6.87,7.7,0.3,-,4,-,-,0.005,-,-,0.02,0.67,0.001,-,0.027,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0018,-,0.005,-,1,28
1,1,2015-02-02,-,112,-,"0,5",55,-,-,-,7.35,1.9,0.29,-,4,-,"0,005","0,005","0,005",-,0.04,0.6,"0,001",-,"0,005",0.004,-,"0,0001","0,001",-,-,"0,005","0,02",-,"0,005",-,-,0.001,-,"0,005",-,1,1
1,1,2015-03-05,-,103,-,0.5,46,-,-,-,7.46,6.1,0.29,-,2,-,"0,005","0,005","0,005",-,"0,02",0.526,0.002,-,0.038,0.004,-,"0,0001","0,001",-,-,"0,005","0,02",-,"0,005","0,00005",-,0.0023,-,"0,005",-,1,1
1,1,2015-04-07,-,112,-,"0,5",53,-,-,-,7.38,1.9,0.31,-,4,-,"0,005","0,005","0,005",-,"0,02",0.718,"0,001",-,"0,05","0,005",-,"0,001","0,01",-,-,"0,01","0,02",-,"0,05","0,00005",-,"0,005",-,"0,01",-,1,1
1,1,2015-05-07,-,104,-,0.5,54,5,Odourless,Tasteless,7.42,3.2,0.02,-,4,-,0.005,0.005,0.005,-,0.02,0.788,0.001,-,0.005,0.003,-,0.0006,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0007,-,0.006,-,1,1
1,1,2015-06-03,-,104,-,0.5,78,5,Odourless,Tasteless,7.05,1.4,0.5,-,4,-,0.005,0.005,0.005,-,0.02,0.014,0.001,-,0.005,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0007,-,0.006,-,1,1
1,1,2015-07-03,-,107,-,0.5,4,5,Odourless,Tasteless,7.31,1.6,0.32,-,3,-,0.005,0.005,0.005,-,0.02,0.519,0.006,-,0.005,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0005,-,0.005,-,1,1
1,1,2015-08-04,-,104,-,0.5,55,5,Odourless,Tasteless,7.12,1.7,0.429,-,4,-,0.005,0.005,0.005,-,0.02,0.454,0.002,-,0.005,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0006,-,0.006,-,1,1
1,1,2015-09-03,-,115,-,0.5,52,5,Odourless,Tasteless,7.67,1.6,0.34,-,3,-,0.005,0.005,0.005,-,0.02,0.704,0.001,-,0.005,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0008,-,0.005,-,1,1
1,1,2015-10-04,-,107,-,0.5,43,5,Odourless,Tasteless,7.17,1.6,0.34,-,5,-,0.005,0.005,0.005,-,0.02,0.606,0.001,-,0.005,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0007,-,0.005,-,1,1
1,1,2015-11-04,-,106,-,0.5,39,5,Odourless,Tasteless,7.37,1.6,0.36,-,5,-,0.005,0.005,0.005,-,0.02,0.67,0.009,-,0.005,0.004,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,0.00005,-,0.0007,-,0.005,-,1,1
1,1,2015-12-02,-,107,1,-,87,-,-,-,7.23,1.6,0.34,-,3,-,-,0.005,-,-,0.02,0.741,0.001,-,0.005,0.0007,-,0.0002,0.001,-,-,0.005,0.04,-,0.005,-,-,0.0005,-,0.005,-,1,3
1,1,2016-01-08,-,111,1,-,54.353,-,-,-,7.31,2.253,0.323,-,3.179,-,-,0.005,-,-,0.02,0.982,0.001,-,0.007386,0.003921,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,57
1,1,2016-02-01,-,114,1,-,52,-,-,-,7.54,1.6,0.32,-,2,-,-,0.005,-,-,0.02,0.839,0.001,-,0.005,0.0038,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0037,-,0.005,-,1,1
1,1,2016-03-03,-,108,1,-,45,-,-,-,7.183,1.2,0.35,-,5,-,-,0.005,-,-,0.02,0.706,0.001,-,0.005,0.0047,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,28
1,1,2016-04-12,-,110,1,-,11,-,-,-,7.36,1.9,0.35,-,2,-,-,0.005,-,-,0.02,0.776,0.001,-,0.005,0.0027,-,0.0007,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.0039,-,1,1
1,1,2016-05-04,-,109,1,-,50,-,-,-,7.51,1.9,0.34,-,4,-,-,0.005,-,-,0.02,0.421,0.001,-,0.007,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0019,-,0.005,-,1,1
1,1,2016-06-03,-,109,1,-,52,-,-,-,7.08,1.1,0.34,-,3,-,-,0.005,-,-,0.02,0.662,0.004,-,0.005,0.001,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0008,-,0.005,-,1,3
1,1,2016-07-09,-,110,1,-,48,-,-,-,7.51,1.3,0.34,-,2,-,-,0.005,-,-,0.02,0.806,0.001,-,0.019,0.0019,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0009,-,0.005,-,1,1
1,1,2016-08-03,-,110,1,-,1,-,-,-,7.35,0.5,0.28,-,4,-,-,0.005,-,-,0.02,0.89,0.001,-,0.028,0.0009,-,0.0005,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,12
1,1,2016-09-02,-,108,1,-,54,-,-,-,7.4,0.5,0.33,-,3,-,-,0.005,-,-,0.02,0.811,0.001,-,0.009,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0015,-,0.005,-,1,1
1,1,2016-10-02,-,109,1,-,62,-,-,-,7.3,1.6,0.31,-,4,-,-,0.005,-,-,0.02,0.759,0.001,-,0.01,0.0005,-,0.0003,0.001,-,-,0.005,0.02,-,0.005,-,-,0.001,-,0.005,-,1,74
1,1,2016-11-02,-,113,1,-,58,-,-,-,7.36,0.6,0.32,-,2,-,-,0.005,-,-,0.02,0.728,0.001,-,0.025,0.0043,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0008,-,0.005,-,1,1
1,1,2016-12-01,-,110,1,-,53,-,-,-,7.23,2.9,0.2,-,2,-,-,0.005,-,-,0.02,0.56,0.001,-,0.005,0.0005,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,3
1,1,2017-01-04,-,109,1,-,48,-,-,-,7.48,0.9,0.3,-,2,-,-,0.005,-,-,0.02,0.836,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.018,-,1,8
1,1,2017-02-03,-,111,1,-,55,-,-,-,7.33,1.1,0.22,-,2,-,-,0.005,-,-,0.02,0.698,0.001,-,0.034,0.0005,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,276
1,1,2017-03-04,-,112,1,-,21,-,-,-,7.42,0.5,0.38,-,2,-,-,0.005,-,-,0.02,0.92,0.001,-,0.005,0.0005,-,0.0005,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2017-04-06,-,106,1,-,49,-,-,-,7.43,1.3,0.4,-,3,-,-,0.005,-,-,0.02,0.573,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,27
1,1,2017-05-08,-,110,1,-,56,-,-,-,7.62,1.7,0.43,-,2,-,-,0.005,-,-,0.02,0.73,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,15
1,1,2017-06-09,-,114,1,-,50,-,-,-,7.41,1,0.32,-,5,-,-,0.005,-,-,0.02,0.734,0.001,-,0.005,0.0005,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2017-07-06,-,116,1,-,53,-,-,-,7.34,2.1,0.36,-,5,-,-,0.005,-,-,0.02,0.87,0.001,-,0.005,0.0005,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2017-08-03,-,114,1,-,62,-,-,-,7.54,1,0.12,-,5,-,-,0.005,-,-,0.02,0.746,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.027,0.06,-,0.02,-,-,0.0539,-,0.009,-,1,1
1,1,2017-09-10,-,109,1,-,55,-,-,-,7.49,0.5,0.34,-,5,-,-,0.005,-,-,0.02,0.681,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,11
1,1,2017-10-01,-,114,1,-,55,-,-,-,7.34,2,0.35,-,5,-,-,0.005,-,-,0.02,0.686,0.023,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2017-11-09,-,103,1,-,54,-,-,-,7.04,0.9,0.41,-,5,-,-,0.005,-,-,0.02,0.961,0.001,-,0.098,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2017-12-08,-,106,1,-,43,-,-,-,7.43,2.1,0.21,-,5,-,-,0.005,-,-,0.02,0.981,0.001,-,0.005,0.0005,-,0.0002,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,3
1,1,2018-01-10,-,106,1,-,46,-,-,-,8.09,1,0.46,-,5,-,-,0.005,-,-,0.02,0.764,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-02-07,-,104,1,-,54,-,-,-,7.245,2.3,0.44,-,5,-,-,0.005,-,-,0.06,0.005,0.003,-,0.04,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-03-07,-,106,1,-,54,-,-,-,7.36,0.5,0.5,-,5,-,-,0.005,-,-,0.02,0.513,0.002,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-04-12,-,106,1,-,50,-,-,-,7.47,1.9,0.36,-,5,-,-,0.005,-,-,0.02,0.96,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-05-14,-,107,1,-,40,-,-,-,7.62,0.05,0.39,-,5,-,-,0.005,-,-,0.04,0.946,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-06-07,-,118,1,-,52,-,-,-,7.3,1.1,0.36,-,5,-,-,0.005,-,-,0.02,0.851,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,36
1,1,2018-07-10,-,109,1,-,50,-,-,-,7.53,0.6,0.42,-,8,-,-,0.005,-,-,0.02,0.533,0.001,-,0.005,0.0051,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,10
1,1,2018-08-07,-,100,1,-,46,-,-,-,7.54,0.9,0.46,-,10,-,-,0.005,-,-,0.02,0.361,0.001,-,0.005,0.0005,-,0.0002,0.001,-,-,0.006,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-09-08,-,119,1,-,47,-,-,-,7.47,0.7,0.5,-,8,-,-,0.005,-,-,0.04,0.629,0.001,-,0.008,0.0005,-,0.0001,0.001,-,-,0.006,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-10-09,-,111,1,-,59,-,-,-,7.12,1.6,0.42,-,6,-,-,0.005,-,-,0.02,0.495,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.006,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-11-19,-,133,1,-,40,-,-,-,8.05,1.3,0.38,-,8,-,-,0.005,-,-,0.02,0.473,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2018-12-13,-,111,1,-,52,-,-,-,7.43,1.6,0.4,-,5,-,-,0.005,-,-,0.02,0.898,0.002,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2019-01-11,-,111,1,-,53,-,-,-,7.33,1.5,0.33,-,5,-,-,0.005,-,-,0.02,1.07,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2019-02-11,-,107,1,-,56,-,-,-,7.63,1.5,0.39,-,5,-,-,0.005,-,-,0.02,0.741,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2019-03-11,-,118,1,-,87,-,-,-,7.25,1.8,0.33,-,5,-,-,0.005,-,-,0.02,0.9,0.001,-,0.005,0.0005,-,0.0003,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,8
1,1,2019-04-18,-,113,1,-,39,-,-,-,7.41,1.5,0.36,-,5,-,-,0.005,-,-,0.02,0.26,0.001,-,0.041,0.007,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2019-05-10,-,115,1,-,23,-,-,-,6.75,2,0.33,-,5,-,-,0.005,-,-,0.02,0.899,0.001,-,0.041,0.0005,-,0.0002,0.001,-,-,0.009,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,1
1,1,2019-06-13,-,108,1,-,48,-,-,-,6.91,2.1,0.25,-,4,-,-,0.005,-,-,0.02,0.982,0.001,-,0.01,0.0027,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,67,ND
1,1,2019-07-05,-,110,1,-,49.9,-,-,-,7.52,2.4,0.48,-,5,-,-,0.005,-,-,0.02,0.956,0.001,-,0.01,0.0034,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,10,ND
1,1,2019-08-08,-,112,1,-,50.3,-,-,-,7.36,2.3,0.39,-,4,-,-,0.005,-,-,0.02,1.03,0.001,-,0.05,0.0016,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,1
1,1,2019-09-11,-,105,1,-,46.1,-,-,-,7.52,4.6,0.34,-,6,-,-,0.005,-,-,0.02,0.968,0.011,-,0.01,0.0033,-,0.0002,0.001,-,-,0.004,0.063,-,0.001,-,-,0.0005,-,0.01,-,3,1
1,1,2019-10-14,-,112,1,-,44.5,-,-,-,7,2.2,0.4,-,4,-,-,0.005,-,-,0.02,0.894,0.01,-,0.01,0.0039,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,1
1,1,2019-11-09,-,110,1,-,54.4,-,-,-,7.4,2.4,0.44,-,5,-,-,0.005,-,-,0.02,1.06,0.002,-,0.01,0.0029,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,1
1,1,2019-12-06,-,110,1,-,52.4,-,-,-,7.25,2.4,0.41,-,4,-,-,0.005,-,-,0.02,1.03,0.001,-,0.01,0.0029,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,1
1,1,2020-01-10,-,110,1,-,49.7,-,-,-,7.46,2.4,0.4,-,4,-,-,0.005,-,-,0.02,1.01,0.002,-,0.02,0.0033,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,ND,ND
1,1,2020-02-13,-,118,1,-,51.9,-,-,-,7.31,2.2,0.37,-,4,-,-,0.005,-,-,0.02,0.973,0.001,-,0.02,0.0029,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,ND,ND
1,1,2020-03-05,-,115,1,-,54.7,-,-,-,7.61,2.1,0.37,-,4,-,-,0.005,-,-,0.02,0.953,0.005,-,0.01,0.0029,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,2
1,1,2020-04-02,-,115,1,-,45.4,-,-,-,7.45,2.1,0.35,-,4,-,-,0.005,-,-,0.02,0.92,0.005,-,0.01,0.003,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,1
1,1,2020-05-14,-,114,1,0.5,51,5,-,-,7.28,1.6,0.36,-,5,-,-,0.005,-,-,0.02,0.908,0.001,-,0.005,0.0005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.0005,-,0.005,-,1,6
1,1,2020-06-16,-,106,1,-,54.3,-,-,-,7.94,2.3,0.36,-,4,-,-,0.005,-,-,0.02,0.987,0.002,-,0.01,0.0033,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,ND,96
1,1,2020-07-07,-,112,1,-,51.5,-,-,-,7.07,2.5,0.38,-,4,-,-,0.005,-,-,0.02,0.989,0.001,-,0.01,0.0038,-,0.0001,0.001,-,-,0.001,0.005,-,0.001,-,-,0.0005,-,0.005,-,1,57
1,1,2020-08-11,-,120,1,-,52,-,-,-,7.21,1,0.37,-,5,-,-,0.005,-,-,0.02,0.916,0.001,-,0.016,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,4,261
1,1,2020-09-10,-,113,1,-,53,-,-,-,7.62,1.6,0.35,-,5,-,-,0.005,-,-,0.02,0.968,0.002,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,19
1,1,2020-10-09,-,114,1,-,60,-,-,-,7.28,1.2,0.32,-,5,-,-,0.005,-,-,0.02,0.943,0.003,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2020-11-12,-,112,1,-,62,5,-,-,7.5,1.5,0.34,-,5,-,-,0.005,-,-,0.02,0.885,0.001,-,0.005,0.007,-,0.0003,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,34
1,1,2020-12-12,-,113,1,-,45,5,-,-,7.5,0.9,0.36,-,5,-,-,0.005,-,-,0.02,0.98,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-01-07,-,113,1,0.8,39,5,-,-,7.44,1.4,0.34,-,5,-,-,0.005,-,-,0.03,0.934,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,3
1,1,2021-02-04,-,113,1,0.6,49,5,-,-,7.38,1.2,0.37,-,5,-,-,0.005,-,-,0.02,0.95,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-03-10,-,115,1,0.5,33,5,-,-,7.27,0.5,0.3,-,5,-,-,0.005,-,-,0.02,1.01,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-04-09,-,84,1,0.6,56,5,-,-,7.35,4,0.38,-,5,-,-,0.005,-,-,0.05,0.97,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.012,-,-,0.005,-,0.005,-,1,1
1,1,2021-05-05,-,118,1,0.5,43,5,-,-,7.5,1.5,0.36,-,12,-,-,0.005,-,-,0.03,0.26,0.007,-,0.005,0.007,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,6
1,1,2021-06-15,-,141,1,1.3,49,5,-,-,7.5,3.2,0.38,-,14,-,-,0.005,-,-,0.02,0.005,0.001,-,0.005,0.008,-,0.0001,0.001,-,-,0.009,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-07-13,-,113,1,0.5,59,11,-,-,7.76,0.7,0.39,-,13,-,-,0.005,-,-,0.02,0.296,0.047,-,0.005,0.006,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,8
1,1,2021-08-08,-,125,1,0.5,46,5,-,-,7.59,0.5,0.43,-,14,-,-,0.005,-,-,0.02,0.182,0.035,-,0.005,0.007,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,2
1,1,2021-09-03,-,119,1,0.5,53,5,-,-,7.78,2.4,0.42,-,17,-,-,0.005,-,-,0.02,0.068,0.006,-,0.005,0.008,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-10-07,-,118,1,0.7,55,10,-,-,7.65,1.7,0.52,-,13,-,-,0.005,-,-,0.02,0.005,0.057,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-11-04,-,109,1,0.5,47,5,-,-,8.55,2.1,0.42,-,13,-,-,0.005,-,-,0.02,0.456,0.007,-,0.005,0.006,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2021-12-04,-,119,1,0.5,55,5,-,-,7.82,2.5,0.37,-,16,-,-,0.005,-,-,0.04,0.323,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2022-01-11,-,131,1,0.5,54,5,-,-,7.61,1.1,0.41,-,13,-,-,0.005,-,-,0.02,0.299,0.001,-,0.005,0.006,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2022-02-08,-,127,1,0.5,39,5,-,-,7.91,2.2,0.42,-,19,-,-,0.005,-,-,0.02,0.421,0.001,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2022-03-10,-,126,1,0.5,48,5,-,-,7.68,0.5,0.39,-,15,-,-,0.005,-,-,0.02,0.303,0.004,-,0.005,0.005,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
1,1,2022-04-05,-,129,1,1,60,5,-,-,7.71,0.5,0.42,-,16,-,-,0.005,-,-,0.02,0.447,0.001,-,0.005,0.007,-,0.0001,0.001,-,-,0.005,0.02,-,0.005,-,-,0.005,-,0.005,-,1,1
